	Ref	NOX	ATPase
b2959	12.33676119	11.53786359	11.71120166
b2960	10.45846528	9.722015211	10.13165912
b2961	9.727225902	9.65322293	9.447197083
b2962	11.54238019	10.81887072	10.84292002
b2963	9.333090642	9.17796599	9.319963587
b2964	8.297743176	8.240145372	8.153964894
b2965	10.0629036	10.24407779	10.21543041
b2966	6.43157893	8.064787718	7.878385419
b2968	8.802465104	10.00202763	9.473011644
b2969	7.145145783	8.501718286	7.922724721
b2970	10.20164353	11.17431632	10.64211786
b2971	8.747749581	8.972644856	8.55240984
b2972	7.925073011	8.617920203	8.537299022
b2973	10.31930493	10.487211	10.34944139
b2974	10.51870322	10.51482205	10.40162164
b2975	8.277716415	9.03843531	8.441704503
b2976	10.59644042	10.51856306	10.19627066
b2977	11.20562514	10.85158255	10.62953934
b2978	9.852476547	10.32307554	9.984222523
b2979	9.385425378	10.08844405	9.696407636
b2980	8.836679394	9.201705928	9.000874096
b2981	4.92520912	7.188948832	6.859519786
b2983	7.956949392	9.590732734	9.216638828
b2984	7.259893124	10.08008409	8.888896131
b2985	7.555514552	8.407925438	8.045007336
b2986	7.426863181	9.484102064	8.436232446
b2987	5.879569638	7.053110227	6.613597502
b2988	9.747076263	9.736904446	9.786250817
b2989	10.48293146	10.26560309	10.62580093
b2990	8.098844012	8.895456125	8.96353344
b2991	8.075519816	8.574889371	8.248712953
b2992	9.713585942	10.67712284	10.35103816
b2993	9.741785893	10.05548691	10.07468877
b2994	9.498906894	9.703624192	9.61276911
b2995	8.057676224	9.207873645	8.976503637
b2996	9.268725559	9.854096357	9.840031031
b2997	8.557588555	9.448718161	9.30086976
b2998	8.669044267	9.679942845	9.310459878
b2999	8.048349587	8.464819286	8.801532945
b3000	9.610810516	9.805640094	9.696996079
b3001	9.759121894	9.786048889	9.920194672
b3002	10.64898103	10.71969195	10.8104158
b3003	9.27415921	8.601317615	9.19732819
b3004	7.412604961	9.010728029	7.735356053
b3005	10.88582074	10.73079107	10.6258555
b3006	10.03149534	9.923164262	9.520089891
b3007	5.476216644	5.393851962	5.541751564
