,REF,NOX,ATP
b0036,1.4873088650542221,0.71053484640119979,1.8332464160911539
b1193,0.38599086441396552,0.19007607990985878,0.096829555612103671
b2200,0.59988417589126408,0.2869573652946214,0.62189559807403005
b2895,0.029875097814385437,0.11152785004861958,0.13316447714557952
b3788,0.0045890381570870709,0.20372064059263095,0.078764359642153031
b2497,0.7729156542839376,0.52229009547570437,0.43558491677393285
b2204,1.8217277000913092,0.76861209887671289,1.4240622572086767
b3967,0.23784681799890584,0.17739427877748148,0.29829072059588674
b3116,0.26656163849290931,0.34667333784971177,0.97072358030546124
b4054,0.38065907973525748,0.35906027629646792,0.12884852012135825
b1992,0.31905427205929288,0.2477685930647843,0.25061469101993
b3132,1.8898504434988153,0.93678410170380333,2.2540806036901655
b0403,0.25340753170644426,0.214080543588997,0.55875086379698902
b0963,0.62807534351249039,0.61794556966345182,0.76612164849047126
b3560,0.48786030574409028,0.29869738787445138,0.31079790649467448
b4240,1.1056603133332916,0.71539964422108338,0.96503628440985967
b1651,0.42996840037037581,0.48709711388979265,0.54124781908766528
b1226,1.2990866624371595,0.37333833711580489,1.5507344037415016
b2964,0.39147045953923088,0.37332357318598203,0.80754597542956086
b0063,2.3844263911750163,0.9422518165012107,3.0720186064892121
b0114,0.4429679864468386,0.42889879982899676,0.070232843901777309
b3607,0.29217119057032648,0.14311225478344233,0.20772711649711739
b0904,0.23798393593124645,0.042740972328018066,0.21173675799716679
b2053,1.37400027303452,0.83835619040708864,1.3781736264352558
b0655,0.59894590284982019,0.31110285367651735,0.40432943268903948
b1244,1.1178766492730727,0.9342294566087217,0.57316134079006975
b2518,0.71922063791424917,0.75460709645341151,1.0954870268248542
b0151,0.86903492698629936,0.48062338325767773,1.1613242947126035
b0751,0.50363620905230788,0.41814291257991199,0.49748242942692517
b2702,0.53408926442490134,0.46421928813164876,0.85840098250446017
b0026,0.65707130821171433,0.69171183152470272,0.40133978566590905
b3739,0.5882587848269013,0.41579490322877877,0.8394202130479016
b2287,0.72141420145199875,0.36805112589691552,0.73559374356627416
b1192,0.10831483650450613,0.166940774195281,0.40852715421357338
b1768,0.3152749470369689,0.34394205420997725,0.26903682678128715
b4123,1.3643127276584002,0.87155116199043592,1.6969199931452033
b3617,0.24507743725459322,0.010590332133572494,0.29281390598158402
b0200,0.14648993134964766,0.31767820452759138,0.4326442659167658
b1033,0.39283893762432237,0.26220087694761923,0.31217377734675988
b0166,0.65972641011497779,0.41715366226985073,0.47641729928277204
b2838,0.23030405318205208,0.25266676473234601,0.35795351997737329
b4311,2.01701468414395,0.68055225913141226,1.9291724777515327
b2254,0.58271381390446186,0.26639941910722414,0.28836093603426083
b3572,0.35871961236443467,0.25310518041387031,0.13042281370388542
b3370,2.4138148204171652,1.2288688289717336,3.0880814103270962
b0221,0.04473798187344355,0.075806329057381494,0.50159228166151648
b2131,0.36900410429980091,0.32987781236330427,0.11378729932988085
b2148,0.29558523143097148,0.24425870560670951,0.61598219305996726
b0339,1.9323866257775351,0.86780491509135183,2.1959700879545876
b3126,1.13339427482704,0.63926908236905178,1.1053960614893623
b1812,0.08014493705029703,0.15862121244677724,0.0092135953422355452
b3187,0.32364591363025313,0.15223839185462054,0.25436619272290345
b4087,2.1824973315607452,0.79707682976492866,2.6033223009465201
b1713,0.57507251219748512,0.41178391018928295,0.47981003540383632
b0754,0.60731335405987841,0.38240912790242587,0.94474535272031945
b3428,0.12411201478621431,0.045171747832376624,0.14381032764786342
