,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YBR070C,0.052198038,0.092659087,0.071278691,0.270671682,0.284034323
YBR071W,0.152843566,0.120494473,0.09557964,0.185856247,0.261799707
YBR072C-A,0.365428253,0.130291494,0.091056515,0.103467925,0.46183104
YBR072W,0.557836803,0.103586705,0.189735232,0.381966252,0.06230013
YBR073W,0.093502672,0.123409898,0.080466222,0.105507615,0.148743438
YBR074W,0.121874864,0.160622126,0.08553095,0.112534376,0.100478367
YBR076W,0.166862417,0.175476774,0.081702976,0.105611053,0.153568435
YBR077C,0.100700967,0.140676351,0.109169691,0.278641777,0.294438099
YBR078W,0.105176762,0.098684226,0.029268709,0.058897361,0.303250553
YBR079C,0.115353634,0.140760504,0.113022281,0.352421943,0.498074306
YBR080C,0.144893981,0.080590345,0.090983599,0.052021292,0.082385089
YBR081C,0.111371023,0.015231132,0.064538649,0.119103668,0.150945331
YBR082C,0.066270323,0.082963311,0.088431711,0.111728446,0.07579687
YBR083W,0.519676486,0.026189118,0.076086615,0.23200071,0.386942204
YBR084C-A,0.079947705,0.091210961,0.073893889,0.033753276,0.111771162
YBR084W,0.14550857,0.239944437,0.082773264,0.451793574,0.763246138
YBR085C-A,0.216763042,0.212675242,0.233479103,0.673434609,0.558919042
YBR085W,0.144699831,0.126153463,0.22629911,0.308051873,0.663133469
YBR086C,0.119248037,0.130795624,0.066363133,0.057484584,0.046898189
YBR087W,0.040738891,0.255006178,0.10983149,0.198347399,0.244559012
YBR088C,0.143129168,0.188951831,0.053008354,0.059642484,0.118902292
YBR089C-A,0.138942398,0.060082744,0.080266065,0.142084136,0.336880206
YBR090C,0.153434707,0.113349634,0.056906598,0.065362739,0.076318341
YBR091C,0.217791378,0.208034684,0.139986997,0.186100705,0.205534835
YBR092C,0.036169443,0.317429931,0.132811865,0.637133111,0.298062211
YBR093C,0.18827935,0.09768973,0.169245082,0.29442614,0.053998376
YBR094W,0.218210983,0.161437658,0.099086387,0.13922774,0.142772322
YBR095C,0.167821889,0.02456203,0.062090341,0.207253578,0.17387338
YBR096W,0.096317964,0.181398937,0.093349329,0.310775258,0.091608567
YBR097W,0.130127828,0.106193446,0.068569821,0.17385006,0.248942451
YBR098W,0.09175327,0.168606554,0.207923579,0.180925615,0.15051459
YBR101C,0.202224207,0.14424822,0.10460637,0.075768812,0.336806379
YBR102C,0.06683945,0.140871176,0.103634511,0.194360747,0.281722586
YBR103W,0.035629591,0.037099612,0.072500279,0.049408188,0.116261893
YBR104W,0.1414804,0.2331368,0.15445827,0.595050128,0.448660356
YBR105C,0.148813758,0.238264496,0.176582202,0.788149415,0.497782292
YBR106W,0.072234283,0.08375096,0.058480128,0.028272491,0.178983228
YBR107C,0.098776271,0.229429242,0.207322056,0.089077266,0.315161126
YBR108W,0.152135484,0.155832179,0.108416285,0.252911894,0.27680081
YBR109C,0.104645161,0.025668518,0.034237745,0.306507052,0.245355649
YBR110W,0.136813952,0.102397107,0.043313549,0.125750475,0.222543179
YBR111C,0.13139255,0.120586843,0.031087882,0.258573274,0.135374586
YBR111W-A,0.096679706,0.076839655,0.116925656,0.22570773,0.044390654
YBR112C,0.089721298,0.059024003,0.189931354,0.127945513,0.159396642
YBR114W,0.198026991,0.110741173,0.119320032,0.205509672,0.124671298
YBR115C,0.116049125,0.102289343,0.092887893,0.177791802,0.410425815
YBR117C,0.288734746,0.269880026,0.313976198,0.908881024,0.431900643
YBR118W,0.050003798,0.042356495,0.057749423,0.020120088,0.082173402
YBR119W,0.060889094,0.120052105,0.06228977,0.146753369,0.285888963
YBR120C,0.173100614,0.100810524,0.093173012,0.16367974,0.172461657
YBR121C,0.077919901,0.157960612,0.083567597,0.209711275,0.228807029
YBR122C,0.092045437,0.07131024,0.068320276,0.156589348,0.10472347
YBR123C,0.10510007,0.035867168,0.103873859,0.065921103,0.094188199
YBR125C,0.108467755,0.123154292,0.066693448,0.067404655,0.19424207
YBR126C,0.133307932,0.344244294,0.122641278,0.303335435,0.259102735
YBR127C,0.125999569,0.087739987,0.043442767,0.120095859,0.169640298
YBR128C,0.24068631,0.225780458,0.160081789,0.296158767,0.257610317
YBR129C,0.198337579,0.112953164,0.118615842,0.110617137,0.281112459
YBR130C,0.142196074,0.121236071,0.036830734,0.089691123,0.19634878
YBR131W,0.06696648,0.110888657,0.123974097,0.085714439,0.08907828
YBR132C,0.224876596,0.578495947,0.153754856,0.373732018,0.479051101
YBR133C,0.068120998,0.013775705,0.065913949,0.137447985,0.144594797
YBR135W,0.052293607,0.061126557,0.072893306,0.062307748,0.035947675
YBR136W,0.200556463,0.116333462,0.024466866,0.126081398,0.08994609
YBR137W,0.127596122,0.112151839,0.101241204,0.451378025,0.339986071
YBR138C,0.241586352,0.132955877,0.167463191,0.213749186,0.326335821
YBR139W,0.1229817,0.258582259,0.125423234,0.380316824,0.262278455
YBR140C,0.167667978,0.113220924,0.078344293,0.151007816,0.15921324
YBR141C,0.070991035,0.265188886,0.14904231,0.648799681,0.8120681
YBR142W,0.089547602,0.538568609,0.178392996,0.512372057,0.558377634
YBR143C,0.052153691,0.246138256,0.081563204,0.204460815,0.163300213
YBR145W,0.06501441,0.147403924,0.045830164,0.070124898,0.542376748
YBR146W,0.07588978,0.032636922,0.074139146,0.063402892,0.18316674
YBR147W,0.185416639,0.220593103,0.102590123,0.152213029,0.455473041
YBR148W,0.209691553,0.213528015,0.097650258,0.084702565,0.184225344
YBR149W,0.07894664,0.194393465,0.077436952,0.322637759,0.308138325
YBR150C,0.1130487,0.046093928,0.102443934,0.165738716,0.144986943
YBR151W,0.142388936,0.065624499,0.137799517,0.166502347,0.2917557
YBR152W,0.383874661,0.057331727,0.075319004,0.199043841,0.272744575
YBR153W,0.066659418,0.066245929,0.080472317,0.216770417,0.109967966
YBR154C,0.045408753,0.143569544,0.110015929,0.317298783,0.38682321
YBR155W,0.035693544,0.241192108,0.167082318,0.244593065,0.497154192
YBR156C,0.092840204,0.053602324,0.088271312,0.105483152,0.199172179
YBR157C,0.164417065,0.271160456,0.132857423,0.343007239,0.408096861
YBR158W,0.061462833,0.199246981,0.089331742,0.102266897,0.332982971
YBR159W,0.075345326,0.049180249,0.023845736,0.165733101,0.233469297
YBR160W,0.048829806,0.088371749,0.066144437,0.07365537,0.09136816
YBR161W,0.080405483,0.090353348,0.053197918,0.30117509,0.143329447
YBR162C,0.119298373,0.064991316,0.06604501,0.245073312,0.278548131
YBR162W-A,0.2145103,0.081523685,0.094890212,0.193368234,0.271433519
YBR163W,0.067789996,0.077107974,0.067291517,0.120394479,0.186958219
YBR164C,0.092355667,0.102796669,0.075754091,0.156377052,0.107959504
YBR165W,0.168330163,0.139317804,0.107810487,0.107092563,0.366314407
YBR166C,0.049776826,0.184822682,0.102442042,0.064896615,0.046792802
YBR167C,0.137388191,0.087704885,0.136715836,0.071200945,0.33113456
YBR168W,0.060376681,0.096035463,0.063069556,0.264497843,0.557363939
YBR169C,0.079758071,0.202642494,0.154592687,0.56578362,0.33552545
YBR170C,0.046526195,0.103152073,0.030890677,0.110903613,0.083569412
YBR171W,0.068891588,0.216986363,0.144637881,0.068333385,0.106592701
YBR172C,0.054896987,0.119329367,0.157447886,0.316956033,0.379711209
YBR173C,0.157305779,0.147461523,0.10711855,0.214677907,0.093920503
YBR175W,0.084429624,0.042999354,0.079142654,0.184075957,0.13334115
