,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b1676,0.0229274405,0.028190859,0.0395496013,0.0692841167,0.1148758625,0.022704844,0.0130441555,0.0233726335,0.0267115812,0.0358380381,0.0199669069,0.0168282962,0.0280471603,0.0188539244,0.019388156,0.023150037,0.0251534056,1.60714680196013e-32,0.0215696018,0.0255985986,0.021747679,0.01849777,0.0258211952,0.0177409418,0.019900128,0.0235952301,0.0219925352,0.0212579667,0.0191210402
b1702,0.0594332682,0.0549952823,0.0566430731,0.0414156452,0.0366581641,0.0496390217,0.0529779694,0.0516423903,0.044964495,0.0438515125,0.0516423903,0.0471904601,0.044519302,0.044074109,0.0465226706,0.0491938287,0.0456322845,0.0569847066,3.00505288455149e-05,0.044964495,0.0402899683,0.0552039345,0.0307183184,0.0594332682,0.0494164252,0.0529779694,0.0545361449,0.0511971973,0.0505294078
b1723,0.0147804083,0.0112070218,0.0147808256,0.0272878784,0.0286423817,0.0097274675,0.0040289968,0.0165389207,0.0119979519,0.1547045744,3.71736171644518e-06,0.0133557906,0.0099723236,0.0027379371,0.0081692919,0.0102839588,0.011797615,0.0122873274,0.0099278043,0.0101281412,0.0053200566,0.0090151587,0.0193213771,0.0134003099,0.0082138112,0.0115527589,0.0092377552,0.0080802533,0.0108181904
b1779,0.1052881492,0.075560745,0.2624350664,0.4722157677,0.6994663625,0.1057333422,0.09950064,0.1304415548,0.1219828875,0.1195343259,0.1104078689,0.0988328504,0.1150823957,0.0897063935,0.1028395876,0.1043977632,0.110853062,0.0959390958,0.1023943946,0.0961616923,0.1375646432,0.0710082867,0.1257670281,0.0810251296,0.0950487098,0.0854770598,0.0981650609,0.1119660445,0.1086270969
b1850,0.008480927,0.0053839919,0.0116637807,0.0232237263,0.0368623879,0.0072789059,0.0052532776,0.0054536145,0.0096384289,0.0073234252,0.0056539514,0.0048748636,0.006700155,0.0075015024,0.0079021761,0.0069672708,0.0062994812,0.006566597,0.0071676076,0.0088816007,0.011352422,0.0082360709,0.0024485616,0.0083028498,0.0067669339,0.0057652496,0.0071230883,0.0062104426,0.0060323654
b1851,0.0003316688,0.0001370261,0.0004658809,0.0011727982,0.001797169,0.0002470821,0.0001874263,0.0001934364,0.0006833713,0.0003383467,0.0001538142,0.0001687282,0.0002148056,0.0002916014,0.0001734027,0.0001816388,0.0001807484,0.0002034532,0.0002172542,0.0006433039,0.0015448198,0.0009927804,7.99121470780731e-05,0.0002626639,0.0002210383,0.0001126338,0.0002337263,0.0001945493,0.000206347
b1852,0.0168950751,0.0132173536,0.0211154651,0.0334808721,0.0536087358,0.0112411238,0.0125099239,0.0177409418,0.0158043522,0.0201227245,0.011864394,0.0112856431,0.0120424712,0.0111075658,0.014223917,0.0095716499,0.0116863168,0.0105955939,0.0124431449,1.8342e-05,0.0123541063,0.0130664151,0.0091932359,0.0095493903,0.0105065553,0.0098610254,0.0112633834,0.0114859799,0.0112633834
b1854,0.0205233982,0.0219518984,0.0351924419,0.066574682,0.0449292262,0.0168505558,0.0192323385,0.0202340228,0.0153368995,0.0324990905,0.0208350333,0.0170731523,0.021747679,0.023150037,0.0178967594,0.0167169979,3.96221787740864e-05,0.0207459947,0.0166056996,0.0258211952,0.0249308091,0.0204343596,0.0212357071,0.0253760021,0.0214805632,0.0143129556,0.0200782052,0.0209018123,0.0164498821
b2029,0.0376188102,0.0288840768,0.0727310465,0.1296658051,0.2215827747,0.0255985986,0.0267115812,0.0351702486,0.0471904601,0.0282697568,0.0316087044,0.0329442835,0.0293827393,0.0278245637,0.0391769858,0.0313861079,0.0313861079,0.0287149498,0.0249308091,0.0269341777,0.0278245637,2.01895034539867e-05,0.0311635114,0.0320538974,0.0251534056,0.0300505288,0.0278245637,0.0251534056,0.0291601428
b2097,0.0496390217,0.0679353487,0.0636815615,0.0538016325,0.0462056247,0.0420707404,0.0400673718,0.1164179747,0.055426531,0.0687823216,0.0618818298,0.0545361449,7.034e-06,0.0280471603,0.0636626019,0.0496390217,0.0525327764,0.0487486357,0.0425159334,0.0511971973,0.0322764939,0.055871724,0.0950487098,0.0358380381,0.0385091962,0.0696727076,0.0463000741,0.0356154416,0.044964495
