,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b2925,0.0089,0.00298,0.00771,0.0118,0.011,0.00368,0.00201,0.00528,0.00629,0.00449,0.00489,0.0028,0.00404,0.00237,0.00269,0.00521,0.00758,0.00479,0.00437,0.00427,0.00385,0.00432,0.0019,0.00341,0.00334,0.00499,0.00184,0.00341,0.00729
b2926,0.00914,0.00265,0.00584,0.0193,0.0142,0.006,0.0017,0.0062,0.00608,0.00508,0.00226,0.0036,0.00318,0.00669,0.00337,0.00799,0.00479,0.00672,0.00137,0.00642,0.00492,0.00523,0.00538,0.00383,0.00241,0.00295,0.00452,0.00319,0.00176
b2935,0.00442,0.00133,0.00562,0.00906,0.00864,0.0029,0.000887,0.00226,0.0022,0.00216,0.000982,0.000707,0.00292,0.00205,0.000863,0.00469,0.00488,0.00267,0.00198,0.00224,0.00211,0.00236,0.00076,0.00139,0.00228,0.00000861,0.00336,0.00209,0.0019
b2976,0.00663,0.002,0.00178,0.00202,0.00112,0.00299,0.000612,0.00167,0.00201,0.00262,0.00167,0.00312,0.00158,0.00354,0.00119,0.00284,0.00272,0.00144,0.00226,0.00153,0.00137,0.00269,0.00194,0.00242,0.00207,0.0044,0.00393,0.00323,0.00501
b3236,0.0268,0.00851,0.0271,0.021,0.0278,0.0135,0.0117,0.0069,0.00706,0.00975,0.00824,0.00859,0.0109,0.0082,0.0111,0.0172,0.0153,0.0143,0.00743,0.0107,0.00583,0.0116,0.00729,0.013,0.0152,0.0106,0.00757,0.0121,0.00569
b3386,0.0015,0.000654,0.000986,0.00119,0.0028,0.000967,0.000469,0.0017,0.000539,0.00105,0.000505,0.000386,0.00136,0.000764,0.000499,0.00135,0.00149,0.000683,0.000702,0.00103,0.000776,0.00104,0.00000164,0.00101,0.000701,0.000583,0.000442,0.000955,0.00106
b3403,0.0097,0.0055,0.016,0.00497,0.00176,0.00916,0.00822,0.0042,0.000925,0.00679,0.00606,0.00777,0.00855,0.0103,0.00443,0.0116,0.011,0.00767,0.00825,0.00595,0.00545,0.00808,0.0103,0.00602,0.00952,0.00875,0.00531,0.00815,0.00886
b3605,0.00106,0.000444,0.000291,0.000381,0.000579,0.00039,0.000456,0.000598,0.000591,0.000314,0.000398,0.000306,0.000702,0.0003,0.000496,0.000267,0.000317,0.00015,0.000456,0.0000998,0.000422,0.000331,0.000605,0.000149,0.000484,0.000833,0.000354,0.000362,0.000275
b3612,0.000758,0.000076,0.000578,0.001,0.000305,0.000382,0.000163,0.000728,0.000595,0.000443,0.000271,0.000275,0.000219,0.000473,0.0000501,0.0000029,0.000612,0.00049,0.000187,0.000657,0.000699,0.000378,0.000398,0.000416,0.000655,0.000295,0.000584,0.00048,0.000233
b3916,0.00215,0.000626,0.000836,0.00288,0.00282,0.000562,0.000371,0.000486,0.000952,0.0000104,0.00054,0.000408,0.000884,0.000282,0.000186,0.000335,0.000632,0.000529,0.000488,0.000774,0.000573,0.000739,0.00105,0.00066,0.000697,0.000556,0.000775,0.000531,0.000328
b3919,0.00383,0.000535,0.00323,0.0038,0.00385,0.00153,0.000504,0.002,0.00185,0.00152,0.00136,0.0015,0.00096,0.00162,0.00137,0.00091,0.00309,0.00188,0.000721,0.00177,0.00211,0.00265,0.00228,0.00287,0.00206,0.00134,0.00278,0.00167,0.00103
b3951,0.000044,0.000025,0.0000168,0.00000777,0.0000287,0.0000349,0.0000183,0.0000193,0.0000225,0.0000345,0.0000303,0.0000134,0.0000425,0.0000335,0.0000248,0.000023,0.0000284,0.000021,0.0000103,0.0000213,0.0000175,0.0000223,0.0000424,0.0000218,0.0000311,0.0000265,0.0000202,0.0000116,0.0000281
b3952,0.0000508,0.0000258,0.0000289,0.0000153,0.0000388,0.0000277,0.000029,0.0000275,0.0000255,0.0000339,0.0000264,0.00002,0.0000399,0.0000226,0.0000113,0.0000212,0.0000296,0.0000296,0.0000117,0.0000222,0.0000249,0.0000151,0.000013,0.0000262,0.0000452,0.0000259,0.0000128,0.0000195,0.0000187
b3956,0.00465,0.000546,0.00347,0.00698,0.00463,0.00231,0.000941,0.00163,0.00449,0.0019,0.00102,0.00108,0.00085,0.0016,0.000996,0.00306,0.00298,0.000815,0.00142,0.00178,0.00114,0.00181,0.00083,0.0000802,0.000861,0.00101,0.00157,0.00168,0.000634
b4014,0.0622,0.0185,0.0594,0.015,0.0289,0.0333,0.0198,0.0211,0.0366,0.0182,0.0197,0.02,0.0306,0.0202,0.0191,0.038,0.0495,0.0379,0.0286,0.0239,0.0124,0.0381,0.00857,0.00776,0.0298,0.0397,0.025,0.028,0.024
b4015,0.0971,0.0395,0.0429,0.0259,0.0176,0.0663,0.0308,0.0374,0.0675,0.036,0.0123,0.0251,0.0482,0.0249,0.0283,0.0573,0.0734,0.0548,0.0177,0.0399,0.028,0.0603,0.0197,0.0448,0.0242,0.0812,0.035,0.0328,0.0223
b4025,0.00464,0.00301,0.00486,0.00891,0.00908,0.00188,0.00182,0.00239,0,0.00193,0.00237,0.00159,0.00408,0.00177,0.00255,0.00387,0.00421,0.00181,0.00166,0.00241,0.00172,0.00364,0.0038,0.00345,0.00295,0.00219,0.00249,0.00151,0.00148
b4069,0.0323,0.0276,0.0146,0.00378,0.00147,0.0193,0.00971,0.0197,0.00471,0.023,0.0146,0.0173,0.0156,0.0102,0.0109,0.0354,0.0337,0.0284,0.0143,0.0179,0.013,0.027,0.0841,0.0129,0.0159,0.0287,0.0356,0.022,0.0107
b4090,0.000535,0.0000637,0.00054,0.000242,0.000145,0.000115,0.000303,0.000179,0.000284,0.000888,0.000276,0.000539,0.000122,0.000185,0.000111,0.000108,0.000263,0.000145,0.000135,0.000299,0.000382,0.0003,0.000557,0.0277,0.0000474,0.0000161,0.000148,0.000112,0.000396
b4122,0.000109,0.0000237,0.0000304,0.0000673,0.000095,0.0000381,0.0000222,0.000039,0.0000287,0.0000337,0.0000209,0.0000214,0.0000175,0.0000536,0.0000184,0.0000419,0.0000582,0.0000342,0.00000739,0.0000182,0.000036,0.0000314,0.0000377,0.0000301,0.000051,0.0000247,0.0000231,0.0000314,0.0000251
b4151,0.000768,0.000117,0.000196,0.000218,0.0000985,0.000265,0.000102,0.000455,0.000145,0.00016,0.000119,0.000242,0.000247,0.00019,0.000136,0.000209,0.000274,0.000181,0.000123,0.000109,0.000103,0.000218,0.000615,0.00033,0.000434,0.000335,0.000145,0.000184,0.000184
b4152,0.000775,0.0000726,0.000177,0.000197,0.00011,0.000249,0.000137,0.000317,0.0000783,0.000194,0.0000978,0.000198,0.000227,0.000224,0.000153,0.000272,0.000272,0.000205,0.000175,0.00018,0.000176,0.000246,0.000213,0.000265,0.0000968,0.0000276,0.000164,0.000127,0.000148
b4153,0.00103,0.000427,0.000386,0.000349,0.000216,0.000621,0.000205,0.000821,0.000379,0.000391,0.000267,0.000217,0.000439,0.000298,0.000336,0.000707,0.000569,0.000343,0.000324,0.000281,0.000203,0.000762,0.00114,0.000561,0.000424,0.000691,0.000538,0.000456,0.000287
b4154,0.00188,0.000488,0.000605,0.000787,0.00064,0.000512,0.000573,0.0024,0.000676,0.000657,0.000616,0.000453,0.00077,0.000262,0.00069,0.00113,0.00112,0.00119,0.000607,0.000831,0.000466,0.00104,0.00279,0.000625,0.000871,0.00128,0.000738,0.000945,0.00039
b4232,0.00182,0.000511,0.0017,0.00242,0.00172,0.00121,0.000594,0.000869,0.0011,0.000886,0.00122,0.00000258,0.00045,0.00114,0.000865,0.00114,0.00145,0.000623,0.000718,0.000912,0.00168,0.00127,0.000989,0.00128,0.00133,0.00101,0.00117,0.00114,0.000865
